Date: 2018-5-30T0:55:41  "POST http://ocsp.pki.goog/GTSGIAG3 HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:55:46 112.109.151.1 "GET www.google.com HTTP/1.1" 200 2854 Bytes
Date: 2018-5-30T0:55:47 112.109.151.1 "GET www.google.com HTTP/1.1" 204 0 Bytes
Date: 2018-5-30T0:55:53  "GET http://www.youtube.com/?gl=KR&tab=w1 HTTP/1.1" 403 0 Bytes
Date: 2018-5-30T0:55:53  "GET http://www.youtube.com/favicon.ico HTTP/1.1" 403 0 Bytes
Date: 2018-5-30T0:55:53  "GET http://www.youtube.com/favicon.ico HTTP/1.1" 403 0 Bytes
Date: 2018-5-30T0:56:0  "POST http://ocsp.pki.goog/GTSGIAG3 HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:56:31 160.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 106191 Bytes
Date: 2018-5-30T0:56:31 128.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 736 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 4480 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 18013 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 160 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 4907 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 12008 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 2539 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 6990 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1058 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 45683 Bytes
Date: 2018-5-30T0:56:31 128.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 8370 Bytes
Date: 2018-5-30T0:56:31 128.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1259 Bytes
Date: 2018-5-30T0:56:31 128.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 2071 Bytes
Date: 2018-5-30T0:56:31 128.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 4950 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 379054 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1005 Bytes
